goos: linux
goarch: amd64
pkg: github.com/koykov/dyntpl
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkTpl/loopCountLazybreak-8  	  545815	      2182 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  561093	      2116 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  569780	      2279 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  514306	      2210 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  552055	      2131 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  367746	      3487 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  350023	      3463 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  362700	      4090 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  339534	      3373 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  368697	      3578 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  362974	      3369 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  365394	      3398 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  334293	      3678 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  277482	      4727 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreakN-8 	  300043	      3625 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountStatic-8     	  411475	      3009 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountStatic-8     	  363950	      3066 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountStatic-8     	  404064	      3093 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountStatic-8     	  368700	      3660 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountStatic-8     	  378428	      3034 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountStatic-8     	  405078	      2976 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountStatic-8     	  373598	      3184 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountStatic-8     	  408697	      2936 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountStatic-8     	  392112	      3087 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountStatic-8     	  366145	      3114 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  602356	      1991 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  614241	      1953 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  629547	      2036 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  553540	      2010 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  578223	      1980 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  606111	      2588 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  454740	      2303 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  596115	      2048 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  588013	      1985 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRange-8           	  588429	      2076 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  508616	      2251 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  562611	      2231 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  495639	      2341 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  527398	      2236 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  565527	      2161 ns/op	       0 B/op	       0 allocs/op
